AREA_NAME	OCC_TITLE	TOT_EMP	JOBS_1000	H_MEAN	A_MEAN	H_PCT10	H_PCT90	A_PCT10	A_PCT90
Los Angeles-Long Beach-Glendale, CA  Metropolitan Division	Computer and Mathematical Occupations	96,830	24.361	42.26	87,910	21.19	66.65	44,080	138,630
Chicago-Joliet-Naperville, IL Metropolitan Division	Computer and Mathematical Occupations	117,020	31.622	38.25	79,550	19.79	57.66	41,160	119,930
San Jose-Sunnyvale-Santa Clara, CA	Computer and Mathematical Occupations	97,430	104.754	55.71	115,870	29.25	83.38	60,830	173,420
Phoenix-Mesa-Glendale, AZ	Computer and Mathematical Occupations	59,860	33.605	37.58	78,170	19.13	57.85	39,800	120,320
New York-White Plains-Wayne, NY-NJ Metropolitan Division	Computer and Mathematical Occupations	162,730	31.044	45.71	95,080	23.48	71.45	48,840	148,620
Philadelphia, PA Metropolitan Division	Computer and Mathematical Occupations	62,330	33.874	40.07	83,350	20.70	62.34	43,050	129,670
Dallas-Plano-Irving, TX Metropolitan Division	Computer and Mathematical Occupations	102,050	47.472	39.21	81,550	19.52	60.48	40,600	125,790
Austin-Round Rock-San Marcos, TX	Computer and Mathematical Occupations	50,370	58.921	39.22	81,570	19.52	63.68	40,600	132,460
San Antonio-New Braunfels, TX	Computer and Mathematical Occupations	23,690	26.682	35.94	74,760	17.49	55.89	36,380	116,250
Los Angeles-Long Beach-Glendale, CA  Metropolitan Division	Computer and Information Research Scientists	null	null	57.96	120,570	38.38	84.99	79,820	176,780
Chicago-Joliet-Naperville, IL Metropolitan Division	Computer and Information Research Scientists	null	null	57.39	119,370	33.56	null	69,800	null
San Jose-Sunnyvale-Santa Clara, CA	Computer and Information Research Scientists	1,880	2.017	63.99	133,090	36.43	null	75,760	null
Phoenix-Mesa-Glendale, AZ	Computer and Information Research Scientists	100	0.055	55.35	115,130	37.92	80.78	78,860	168,030
New York-White Plains-Wayne, NY-NJ Metropolitan Division	Computer and Information Research Scientists	350	0.067	47.98	99,800	25.95	78.01	53,970	162,270
Philadelphia, PA Metropolitan Division	Computer and Information Research Scientists	260	0.143	47.16	98,090	28.94	68.18	60,210	141,810
Dallas-Plano-Irving, TX Metropolitan Division	Computer and Information Research Scientists	330	0.153	48.20	100,260	21.84	81.88	45,440	170,310
Austin-Round Rock-San Marcos, TX	Computer and Information Research Scientists	190	0.218	57.74	120,090	28.40	86.24	59,080	179,380
San Antonio-New Braunfels, TX	Computer and Information Research Scientists	110	0.129	48.57	101,030	37.08	64.50	77,130	134,150
Los Angeles-Long Beach-Glendale, CA  Metropolitan Division	Computer Systems Analysts	11,950	3.007	44.23	91,990	27.08	65.42	56,330	136,070
Chicago-Joliet-Naperville, IL Metropolitan Division	Computer Systems Analysts	12,270	3.316	38.63	80,360	23.34	54.73	48,550	113,840
San Jose-Sunnyvale-Santa Clara, CA	Computer Systems Analysts	9,310	10.012	50.02	104,040	27.05	72.22	56,250	150,220
Phoenix-Mesa-Glendale, AZ	Computer Systems Analysts	9,950	5.585	40.32	83,870	25.06	56.94	52,120	118,440
New York-White Plains-Wayne, NY-NJ Metropolitan Division	Computer Systems Analysts	24,230	4.622	47.55	98,900	27.34	70.89	56,870	147,450
Philadelphia, PA Metropolitan Division	Computer Systems Analysts	10,400	5.654	44.47	92,500	26.10	67.05	54,280	139,470
Dallas-Plano-Irving, TX Metropolitan Division	Computer Systems Analysts	13,110	6.097	41.14	85,570	25.65	59.61	53,350	123,980
Austin-Round Rock-San Marcos, TX	Computer Systems Analysts	8,720	10.195	39.12	81,370	21.48	61.52	44,670	127,950
San Antonio-New Braunfels, TX	Computer Systems Analysts	3,330	3.756	36.21	75,320	21.44	54.61	44,600	113,590
